iter	Passed	Remaining
955	8527	392
956	8536	383
957	8544	374
958	8553	365
959	8561	356
960	8570	347
961	8579	338
962	8587	329
963	8595	320
964	8604	312
965	8613	303
966	8622	294
967	8631	285
968	8640	276
969	8648	267
970	8656	258
971	8665	249
972	8674	240
973	8682	231
974	8691	222
975	8699	213
976	8708	205
977	8716	196
978	8724	187
979	8733	178
980	8741	169
981	8750	160
982	8759	151
983	8767	142
984	8776	133
985	8785	124
986	8794	115
987	8802	106
988	8810	97
989	8820	89
990	8829	80
991	8839	71
992	8848	62
993	8857	53
994	8866	44
995	8875	35
996	8883	26
997	8892	17
998	8900	8
999	8910	0
